ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
MC11747,PEDREGAL DE SAN NICOLAS 4TA SECCION,TLALPAN,19.276445,-99.237845,1,Mi_Barrio
MC11757,PEDREGAL DE SAN NICOLAS 4TA SECCION,TLALPAN,19.278952,-99.242388,1,Mi_Barrio
MC12360,SAN PEDRO MARTIR 2487,TLALPAN,19.265741,-99.165415,1,Mi_Barrio
MC11361,LOMAS DE PADIERNA 2277,TLALPAN,19.297422,-99.224215,1,Mi_Barrio
MC11807,POPULAR SANTA TERESA,TLALPAN,19.300441,-99.226047,1,Mi_Barrio
MC11446,FUENTES DEL PEDREGAL 2203,TLALPAN,19.300203,-99.227039,1,Mi_Barrio
MC11862,BELVEDERE AJUSCO,TLALPAN,19.268165,-99.225531,1,Mi_Barrio
MC12370,SAN PEDRO MARTIR 2487,TLALPAN,19.269263,-99.170367,1,Mi_Barrio
MC12350,TECORRAL 2557,TLALPAN,19.261047,-99.168488,1,Mi_Barrio
MC12364,SAN PEDRO MARTIR 2487,TLALPAN,19.267907,-99.164558,1,Mi_Barrio
MC12351,SAN PEDRO MARTIR 2487,TLALPAN,19.265055,-99.164727,1,Mi_Barrio
MC12336,SAN PEDRO MARTIR 2487,TLALPAN,19.262353,-99.17504,1,Mi_Barrio
MC12352,TECORRAL 2557,TLALPAN,19.261543,-99.167552,1,Mi_Barrio
MC11813,POPULAR SANTA TERESA,TLALPAN,19.301893,-99.222069,1,Mi_Barrio
MC11781,PEDREGAL DE SAN NICOLAS 4TA SECCION,TLALPAN,19.278038,-99.24189,1,Mi_Barrio
MC11782,PEDREGAL DE SAN NICOLAS 4TA SECCION,TLALPAN,19.27591,-99.237718,1,Mi_Barrio
MC12405,MESA LOS HORNOS,TLALPAN,19.272322,-99.18452,1,Mi_Barrio
MC12524,LOS VOLCANES 2320,TLALPAN,19.270445,-99.177087,1,Mi_Barrio
MC12356,SAN PEDRO MARTIR 2487,TLALPAN,19.264175,-99.172373,1,Mi_Barrio
MC2294,NAPOLES 2349,BENITO JUÁREZ,19.397373,-99.17682,1,Mi_Barrio
MC11053,CANTERA PUENTE DE PIEDRA,TLALPAN,19.301365,-99.164373,1,Mi_Barrio
MC1182,CENTRO,CUAUHTÉMOC,19.42885,-99.127423,1,Mi_Barrio
MC3859,BUENAVISTA,CUAUHTÉMOC,19.448531,-99.150064,1,Mi_Barrio
MC3881,CENTRO,CUAUHTÉMOC,19.432207,-99.126232,1,Mi_Barrio
MC3876,CENTRO,CUAUHTÉMOC,19.428445,-99.136038,1,Mi_Barrio
MC3873,CENTRO,CUAUHTÉMOC,19.42885,-99.127423,1,Mi_Barrio
MC3896,CENTRO,CUAUHTÉMOC,19.42594,-99.13433,1,Mi_Barrio
MC3886,CENTRO,CUAUHTÉMOC,19.429502,-99.14736,1,Mi_Barrio
MC3968,DOCTORES,CUAUHTÉMOC,19.426368,-99.149085,1,Mi_Barrio
MC4116,DOCTORES,CUAUHTÉMOC,19.415925,-99.150952,1,Mi_Barrio
MC2196,DOCTORES,CUAUHTÉMOC,19.41005,-99.145413,1,Mi_Barrio
MC3982,DOCTORES,CUAUHTÉMOC,19.412183,-99.15033,1,Mi_Barrio
MC3975,DOCTORES,CUAUHTÉMOC,19.423577,-99.146608,1,Mi_Barrio
MC3962,DOCTORES,CUAUHTÉMOC,19.422908,-99.143682,1,Mi_Barrio
MC3965,DOCTORES,CUAUHTÉMOC,19.412205,-99.145735,1,Mi_Barrio
MC3966,DOCTORES,CUAUHTÉMOC,19.409583,-99.149838,1,Mi_Barrio
MC3967,DOCTORES,CUAUHTÉMOC,19.406903,-99.151068,1,Mi_Barrio
MC3960,DOCTORES,CUAUHTÉMOC,19.419655,-99.144402,1,Mi_Barrio
MC4002,EX HIPODROMO DE PERALVILLO,CUAUHTÉMOC,19.459085,-99.137643,1,Mi_Barrio
MC4015,GUERRERO,CUAUHTÉMOC,19.4477,-99.14382,1,Mi_Barrio
MC4016,GUERRERO,CUAUHTÉMOC,19.447942,-99.143533,1,Mi_Barrio
MC3892,CENTRO,CUAUHTÉMOC,19.425096,-99.131503,1,Mi_Barrio
MC12733,ESPERANZA,CUAUHTÉMOC,19.42029,-99.127472,1,Mi_Barrio
MC4101,PAULINO NAVARRO,CUAUHTÉMOC,19.411322,-99.131348,1,Mi_Barrio
MC4136,CENTRO,CUAUHTÉMOC,19.422287,-99.140895,1,Mi_Barrio
MC4140,OBRERA,CUAUHTÉMOC,19.416113,-99.139563,1,Mi_Barrio
MC4124,SIN NOMBRE 2607,TLALPAN,19.149373,-99.138012,1,Mi_Barrio
MC4132,OBRERA,CUAUHTÉMOC,19.418795,-99.139425,1,Mi_Barrio
MC4139,OBRERA,CUAUHTÉMOC,19.410213,-99.142658,1,Mi_Barrio
MC4134,OBRERA,CUAUHTÉMOC,19.412347,-99.142847,1,Mi_Barrio
MC4158,PERALVILLO,CUAUHTÉMOC,19.463835,-99.141737,1,Mi_Barrio
MC3868,DOCTORES,CUAUHTÉMOC,19.406658,-99.154963,1,Mi_Barrio
MC4240,SAN RAFAEL,CUAUHTÉMOC,19.439393,-99.158234,1,Mi_Barrio
MC4243,SAN RAFAEL,CUAUHTÉMOC,19.441307,-99.162877,1,Mi_Barrio
MC4238,SAN RAFAEL,CUAUHTÉMOC,19.436057,-99.162074,1,Mi_Barrio
MC4245,SAN RAFAEL,CUAUHTÉMOC,19.440891,-99.159705,1,Mi_Barrio
MC4246,SAN RAFAEL,CUAUHTÉMOC,19.439142,-99.164788,1,Mi_Barrio
MC4274,SANTA MARIA LA RIBERA,CUAUHTÉMOC,19.448925,-99.163901,1,Mi_Barrio
MC4273,SANTA MARIA LA RIBERA,CUAUHTÉMOC,19.44467,-99.159588,1,Mi_Barrio
MC9286,5 DE MAYO,MIGUEL HIDALGO,19.449312,-99.199449,1,Mi_Barrio
MC9294,AHUEHUETES ANAHUAC,MIGUEL HIDALGO,19.44974,-99.188605,1,Mi_Barrio
MC9300,AMERICA,MIGUEL HIDALGO,19.404522,-99.201625,1,Mi_Barrio
MC9339,ANAHUAC,MIGUEL HIDALGO,19.445075,-99.171743,1,Mi_Barrio
MC9328,ANAHUAC,MIGUEL HIDALGO,19.448939,-99.176672,1,Mi_Barrio
MC9340,ANAHUAC,MIGUEL HIDALGO,19.444307,-99.173877,1,Mi_Barrio
MC9337,ANAHUAC,MIGUEL HIDALGO,19.444128,-99.177375,1,Mi_Barrio
MC9345,ANAHUAC,MIGUEL HIDALGO,19.442608,-99.176455,1,Mi_Barrio
MC9681,ANAHUAC,MIGUEL HIDALGO,19.443007,-99.179815,1,Mi_Barrio
MC9332,ANAHUAC,MIGUEL HIDALGO,19.442238,-99.181167,1,Mi_Barrio
MC9476,ESCANDON,MIGUEL HIDALGO,19.403533,-99.1725,1,Mi_Barrio
MC9308,DANIEL GARZA 2158,MIGUEL HIDALGO,19.405831,-99.199951,1,Mi_Barrio
MC9702,DANIEL GARZA 2159,MIGUEL HIDALGO,19.406174,-99.19659,1,Mi_Barrio
MC9311,DANIEL GARZA 2159,MIGUEL HIDALGO,19.407281,-99.19709,1,Mi_Barrio
MC9477,ESCANDON,MIGUEL HIDALGO,19.399152,-99.178867,1,Mi_Barrio
MC9468,ESCANDON,MIGUEL HIDALGO,19.399886,-99.179137,1,Mi_Barrio
MC9479,ESCANDON,MIGUEL HIDALGO,19.399152,-99.178867,1,Mi_Barrio
MC9465,ESCANDON,MIGUEL HIDALGO,19.402397,-99.183315,1,Mi_Barrio
MC9475,ESCANDON,MIGUEL HIDALGO,19.401733,-99.172922,1,Mi_Barrio
MC9474,ESCANDON,MIGUEL HIDALGO,19.400582,-99.175754,1,Mi_Barrio
MC9679,ANAHUAC LOS MANZANOS,MIGUEL HIDALGO,19.44576,-99.185007,1,Mi_Barrio
MC9336,ANAHUAC MARIANO ESCOBEDO,MIGUEL HIDALGO,19.443202,-99.17871,1,Mi_Barrio
MC9329,ANAHUAC MARIANO ESCOBEDO,MIGUEL HIDALGO,19.443475,-99.181917,1,Mi_Barrio
MC9815,CUAUHTEMOC PENSIL,MIGUEL HIDALGO,19.446766,-99.192796,1,Mi_Barrio
MC9290,AGRICULTURA,MIGUEL HIDALGO,19.456392,-99.164943,1,Mi_Barrio
MC9804,POPOTLA,MIGUEL HIDALGO,19.450958,-99.180809,1,Mi_Barrio
MC9803,POPOTLA,MIGUEL HIDALGO,19.452869,-99.177394,1,Mi_Barrio
MC9293,AHUEHUETES ANAHUAC,MIGUEL HIDALGO,19.449297,-99.190038,1,Mi_Barrio
MC9833,PENSIL SAN JUANICO,MIGUEL HIDALGO,19.451958,-99.185766,1,Mi_Barrio
MC9798,TACUBA,MIGUEL HIDALGO,19.453655,-99.183773,1,Mi_Barrio
MC9502,TACUBA,MIGUEL HIDALGO,19.455887,-99.187509,1,Mi_Barrio
MC9801,TACUBA,MIGUEL HIDALGO,19.45515,-99.184791,1,Mi_Barrio
MC9459,TACUBAYA,MIGUEL HIDALGO,19.406343,-99.184598,1,Mi_Barrio
MC9871,TLAXPANA,MIGUEL HIDALGO,19.442892,-99.167193,1,Mi_Barrio
MC9873,TLAXPANA,MIGUEL HIDALGO,19.438557,-99.168647,1,Mi_Barrio
MC9872,TLAXPANA,MIGUEL HIDALGO,19.437285,-99.169462,1,Mi_Barrio
MC12483,TORIELLO GUERRA,TLALPAN,19.295083,-99.168262,1,Mi_Barrio
MC12479,TORIELLO GUERRA,TLALPAN,19.292468,-99.16172,1,Mi_Barrio
MC10993,CHIMALCOYOTL,TLALPAN,19.273506,-99.171309,1,Mi_Barrio
MC10995,CHIMALCOYOTL,TLALPAN,19.272744,-99.167263,1,Mi_Barrio
MC10989,CHIMALCOYOTL,TLALPAN,19.276134,-99.167402,1,Mi_Barrio
MC11461,SAN ANDRES TOTOLTEPEC 2410,TLALPAN,19.254602,-99.18009,1,Mi_Barrio
MC11388,LOMAS DE PADIERNA 2277,TLALPAN,19.28867,-99.228582,1,Mi_Barrio
MC11475,LOS VOLCANES 2319,TLALPAN,19.279154,-99.183829,1,Mi_Barrio
MC11797,PEDREGAL DE SANTA URSULA XITLA,TLALPAN,19.273855,-99.176795,1,Mi_Barrio
MC12062,TORIELLO GUERRA,TLALPAN,19.299144,-99.160782,1,Mi_Barrio
MC11867,FUENTES DEL PEDREGAL 2203,TLALPAN,19.307357,-99.221223,1,Mi_Barrio
MC12377,SANTA URSULA XITLA,TLALPAN,19.285478,-99.176883,1,Mi_Barrio
MC12387,SANTA URSULA XITLA,TLALPAN,19.283788,-99.178409,1,Mi_Barrio
MC12389,SANTA URSULA XITLA,TLALPAN,19.28366,-99.179914,1,Mi_Barrio
MC12393,SANTA URSULA XITLA,TLALPAN,19.280127,-99.176665,1,Mi_Barrio
MC12384,SANTA URSULA XITLA,TLALPAN,19.281409,-99.180391,1,Mi_Barrio
MC12381,SANTA URSULA XITLA,TLALPAN,19.278091,-99.178858,1,Mi_Barrio
MC12385,TLALPAN CENTRO,TLALPAN,19.288126,-99.17452,1,Mi_Barrio
MC12486,TORIELLO GUERRA,TLALPAN,19.293165,-99.166787,1,Mi_Barrio
MC12465,TORIELLO GUERRA,TLALPAN,19.29344,-99.16418,1,Mi_Barrio
